%time,field.bms_alarm_status,field.SOC_Value,field.SOH_Value,field.totalVoltage,field.totalCurrent,field.voltageDiff,field.tempDiff,field.BCU_Mode,field.Charging
1769692801538746833,0,72,0,52,-62,0,50,0,0
1769692801539243698,0,72,0,52,-62,0,50,0,0
1769692801539478778,0,72,0,52,-62,0,50,0,0
1769692802538196086,0,72,0,52,-62,0,50,0,0
1769692802539227247,0,72,0,52,-62,0,50,0,0
1769692802539368629,0,72,0,52,-62,0,50,0,0
1769692803539146661,0,72,0,52,-62,0,50,0,0
1769692803539402723,0,72,0,52,-62,0,50,0,0
1769692803539585590,0,72,0,52,-62,0,50,0,0
1769692804538439750,0,72,0,52,-62,0,50,0,0
1769692804539056301,0,72,0,52,-62,0,50,0,0
1769692804539680242,0,72,0,52,-62,0,50,0,0
1769692805538353204,0,72,0,52,-62,0,50,0,0
1769692805539020299,0,72,0,52,-62,0,50,0,0
1769692805539256811,0,72,0,52,-62,0,50,0,0
1769692806538705348,0,72,0,52,-62,0,50,0,0
1769692806539258480,0,72,0,52,-62,0,50,0,0
1769692806539680242,0,72,0,52,-62,0,50,0,0
1769692807538954257,0,72,0,52,-62,0,50,0,0
1769692807539255380,0,72,0,52,-62,0,50,0,0
1769692807539438009,0,72,0,52,-62,0,50,0,0
1769692808538136720,0,72,0,52,-62,0,50,0,0
1769692808597638130,0,72,0,52,-62,0,50,0,0
1769692808597804069,0,72,0,52,-62,0,50,0,0
1769692809538067102,0,72,0,52,-62,0,50,0,0
1769692809538611888,0,72,0,52,-62,0,50,0,0
1769692809539386987,0,72,0,52,-62,0,50,0,0
1769692810538667678,0,72,0,52,-62,0,50,0,0
1769692810539298057,0,72,0,52,-62,0,50,0,0
1769692810539753913,0,72,0,52,-62,0,50,0,0
1769692811538272142,0,72,0,52,-62,0,50,0,0
1769692811538882970,0,72,0,52,-62,0,50,0,0
1769692811539209842,0,72,0,52,-62,0,50,0,0
1769692812538231849,0,72,0,52,-62,0,50,0,0
1769692812538658618,0,72,0,52,-62,0,50,0,0
1769692812538901567,0,72,0,52,-62,0,50,0,0
1769692813538305521,0,72,0,52,-62,0,50,0,0
1769692813555496931,0,72,0,52,-62,0,50,0,0
1769692813555539369,0,72,0,52,-62,0,50,0,0
1769692814538478612,0,72,0,52,-62,0,50,0,0
1769692814539248466,0,72,0,52,-62,0,50,0,0
1769692814539482116,0,72,0,52,-62,0,50,0,0
1769692815538149118,0,72,0,52,-62,0,50,0,0
1769692815539366960,0,72,0,52,-62,0,50,0,0
1769692815539608716,0,72,0,52,-62,0,50,0,0
1769692816538718938,0,72,0,52,-62,0,50,0,0
1769692816539480924,0,72,0,52,-62,0,50,0,0
1769692816539724349,0,72,0,52,-62,0,50,0,0
1769692817539176464,0,72,0,52,-62,0,50,0,0
1769692817539935588,0,72,0,52,-62,0,50,0,0
1769692817540102005,0,72,0,52,-62,0,50,0,0
1769692818538184404,0,72,0,52,-62,0,50,0,0
1769692818609997987,0,72,0,52,-62,0,50,0,0
1769692818610167026,0,72,0,52,-62,0,50,0,0
1769692819538780450,0,72,0,52,-62,0,50,0,0
1769692819538960933,0,72,0,52,-62,0,50,0,0
1769692819539767265,0,72,0,52,-62,0,50,0,0
1769692820538740396,0,72,0,52,-62,0,50,0,0
1769692820538924694,0,72,0,52,-62,0,50,0,0
1769692820539828062,0,72,0,52,-62,0,50,0,0
1769692821538094520,0,72,0,52,-62,0,50,0,0
1769692821538457870,0,72,0,52,-62,0,50,0,0
1769692821539479255,0,72,0,52,-62,0,50,0,0
1769692822539016723,0,72,0,52,-62,0,50,0,0
1769692822540267467,0,72,0,52,-62,0,50,0,0
1769692822540642738,0,72,0,52,-62,0,50,0,0
1769692823538276433,0,72,0,52,-62,0,50,0,0
1769692823545013666,0,72,0,52,-62,0,50,0,0
1769692823545166730,0,72,0,52,-62,0,50,0,0
1769692824538510084,0,72,0,52,-62,0,50,0,0
1769692824538769721,0,72,0,52,-62,0,50,0,0
1769692824539582490,0,72,0,52,-62,0,50,0,0
1769692825538921833,0,72,0,52,-62,0,50,0,0
1769692825539594411,0,72,0,52,-62,0,50,0,0
1769692825539765834,0,72,0,52,-62,0,50,0,0
1769692826538321256,0,72,0,52,-62,0,50,0,0
1769692826538863897,0,72,0,52,-62,0,50,0,0
1769692826539377450,0,72,0,52,-62,0,50,0,0
1769692827538439512,0,72,0,52,-62,0,50,0,0
1769692827539037227,0,72,0,52,-62,0,50,0,0
1769692827539397478,0,72,0,52,-62,0,50,0,0
1769692828538401842,0,72,0,52,-62,0,50,0,0
1769692828550163030,0,72,0,52,-62,0,50,0,0
1769692828550321340,0,72,0,52,-62,0,50,0,0
1769692829538384914,0,72,0,52,-62,0,50,0,0
1769692829538901805,0,72,0,52,-62,0,50,0,0
1769692829539482116,0,72,0,52,-62,0,50,0,0
1769692830538312673,0,72,0,52,-62,0,50,0,0
1769692830539063453,0,72,0,52,-62,0,50,0,0
1769692830539274215,0,72,0,52,-62,0,50,0,0
1769692831538678169,0,72,0,52,-62,0,50,0,0
1769692831538932323,0,72,0,52,-62,0,50,0,0
1769692831539267539,0,72,0,52,-62,0,50,0,0
1769692832539196252,0,72,0,52,-62,0,50,0,0
1769692832539618015,0,72,0,52,-62,0,50,0,0
1769692832539825439,0,72,0,52,-62,0,50,0,0
1769692833538760185,0,72,0,52,-62,0,50,0,0
1769692833568622350,0,72,0,52,-62,0,50,0,0
1769692833568782567,0,72,0,52,-62,0,50,0,0
1769692834539201736,0,72,0,52,-62,0,50,0,0
1769692834539470672,0,72,0,52,-62,0,50,0,0
1769692834539599180,0,72,0,52,-62,0,50,0,0
1769692835538871765,0,72,0,52,-62,0,50,0,0
1769692835539537429,0,72,0,52,-62,0,50,0,0
1769692835539734840,0,72,0,52,-62,0,50,0,0
1769692836538756370,0,72,0,52,-62,0,50,0,0
1769692836538937807,0,72,0,52,-62,0,50,0,0
1769692836539135217,0,72,0,52,-62,0,50,0,0
1769692837538955450,0,72,0,52,-62,0,50,0,0
1769692837539835453,0,72,0,52,-62,0,50,0,0
1769692837540010690,0,72,0,52,-62,0,50,0,0
1769692838538228511,0,72,0,52,-62,0,50,0,0
1769692838624042749,0,72,0,52,-62,0,50,0,0
1769692838624213695,0,72,0,52,-62,0,50,0,0
1769692839538232326,0,72,0,52,-62,0,50,0,0
1769692839538784265,0,72,0,52,-62,0,50,0,0
1769692839539317131,0,72,0,52,-62,0,50,0,0
1769692840538180828,0,72,0,52,-62,0,50,0,0
1769692840538753032,0,72,0,52,-62,0,50,0,0
1769692840538983106,0,72,0,52,-62,0,50,0,0
1769692841538863182,0,72,0,52,-62,0,50,0,0
1769692841539040088,0,71,0,52,-62,0,50,0,0
1769692841539238691,0,71,0,52,-62,0,50,0,0
1769692842538349390,0,71,0,52,-62,0,50,0,0
1769692842538609981,0,71,0,52,-62,0,50,0,0
1769692842539028167,0,71,0,52,-62,0,50,0,0
1769692843538454771,0,71,0,52,-62,0,50,0,0
1769692843543346166,0,71,0,52,-62,0,50,0,0
1769692843543500185,0,71,0,52,-62,0,50,0,0
1769692844538870334,0,71,0,52,-62,0,50,0,0
1769692844539066791,0,71,0,52,-62,0,50,0,0
1769692844539266109,0,71,0,52,-62,0,50,0,0
1769692845539050817,0,71,0,52,-62,0,50,0,0
1769692845539321184,0,71,0,52,-62,0,50,0,0
1769692845539449691,0,71,0,52,-62,0,50,0,0
1769692846538333177,0,71,0,52,-62,0,50,0,0
1769692846538915157,0,71,0,52,-62,0,50,0,0
1769692846539932966,0,71,0,52,-62,0,50,0,0
1769692847538731575,0,71,0,52,-62,0,50,0,0
1769692847539272546,0,71,0,52,-62,0,50,0,0
1769692847539663314,0,71,0,52,-62,0,50,0,0
1769692848538339138,0,71,0,52,-62,0,50,0,0
1769692848680701255,0,71,0,52,-62,0,50,0,0
1769692848680870771,0,71,0,52,-62,0,50,0,0
1769692849538354158,0,71,0,52,-62,0,50,0,0
1769692849538817644,0,71,0,52,-62,0,50,0,0
1769692849539049625,0,71,0,52,-62,0,50,0,0
1769692850538947820,0,71,0,52,-62,0,50,0,0
1769692850539478063,0,71,0,52,-62,0,50,0,0
